"filename", "language", "JavaScript", "Vue", "CSS", "Markdown", "JSON", "Ignore", "JSON with Comments", "HTML", "XML", "comment", "blank", "total"
"c:\Users\16110\Desktop\newsAdmin\src\views\addNews\index.vue", "Vue", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\16110\Desktop\newsAdmin\src\views\login\login.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\16110\Desktop\newsAdmin\src\views\login\login.vue", "Vue", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 8, 111
"c:\Users\16110\Desktop\newsAdmin\src\views\main\index.vue", "Vue", 0, 84, 0, 0, 0, 0, 0, 0, 0, 1, 9, 94
"c:\Users\16110\Desktop\newsAdmin\src\views\nav\form.config.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\16110\Desktop\newsAdmin\src\views\nav\index.vue", "Vue", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\16110\Desktop\newsAdmin\src\views\nav\search.config.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\16110\Desktop\newsAdmin\src\views\nav\table.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\16110\Desktop\newsAdmin\src\views\news\index.vue", "Vue", 0, 56, 0, 0, 0, 0, 0, 0, 0, 5, 3, 64
"c:\Users\16110\Desktop\newsAdmin\src\views\news\search.config.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\16110\Desktop\newsAdmin\src\views\news\table.config.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\16110\Desktop\newsAdmin\src\views\note\form.config.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\16110\Desktop\newsAdmin\src\views\note\index.vue", "Vue", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Users\16110\Desktop\newsAdmin\src\views\note\search.config.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\16110\Desktop\newsAdmin\src\views\note\table.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\16110\Desktop\newsAdmin\src\views\show\index.vue", "Vue", 0, 310, 0, 0, 0, 0, 0, 0, 0, 2, 7, 319
"c:\Users\16110\Desktop\newsAdmin\src\views\user\form.config.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\16110\Desktop\newsAdmin\src\views\user\index.vue", "Vue", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\16110\Desktop\newsAdmin\src\views\user\search.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\16110\Desktop\newsAdmin\src\views\user\table.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\16110\Desktop\newsAdmin\vue.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 13
"Total", "-", 988, 1744, 9, 19, 13121, 7, 8, 16, 3, 117, 182, 16214
